title,url,video_id,tier,top
"Bryson Tiller - Outta Time ft. Drake",https://www.youtube.com/watch?v=fpwQhohPHHA,fpwQhohPHHA,Diamond,0
"Bushido - Ronin",https://www.youtube.com/watch?v=ycLSTHRagws,ycLSTHRagws,Diamond,0
"Busta Rhymes - Boomp!",https://www.youtube.com/watch?v=Xo6Vbnvccw8,Xo6Vbnvccw8,Diamond,0
"Busta Rhymes - Where I Belong ft. Mariah Carey",https://www.youtube.com/watch?v=kxv-fqcvO8w,kxv-fqcvO8w,Diamond,0
"Calvin Harris & The Weeknd - Over Now",https://www.youtube.com/watch?v=wkK4gGv7TEs,wkK4gGv7TEs,Diamond,0
"Camila Cabello - Easy",https://www.youtube.com/watch?v=g6Pn0FgHAkA,g6Pn0FgHAkA,Diamond,0
"Capital Bra - Komm Komm",https://www.youtube.com/watch?v=sNyz_DCzIuo,sNyz_DCzIuo,Diamond,0
"Cardi B - Imaginary Playerz",https://www.youtube.com/watch?v=NyvTh0vXAQI,NyvTh0vXAQI,Gold,0
"Cardi B - Like What Freestyle",https://www.youtube.com/watch?v=YEFE5R79lJg,YEFE5R79lJg,Diamond,0
"Cardi B - Magnet",https://www.youtube.com/watch?v=zdDpGQPEPgc,zdDpGQPEPgc,Gold,0
"Cardi B - Up",https://www.youtube.com/watch?v=BU9BNQbv_M0,BU9BNQbv_M0,Diamond,0
"Cardi B & Bruno Mars - Please Me",https://www.youtube.com/watch?v=PE9jmuvcCo4,PE9jmuvcCo4,Diamond,0
"Cardi B & Megan Thee Stallion - WAP",https://www.youtube.com/watch?v=N-_DTw1JTyY,N-_DTw1JTyY,Diamond,0
"Cardi B Type Beat - WAP",https://www.youtube.com/watch?v=UBg2TxHNX-0,UBg2TxHNX-0,Diamond,0
"Central Cee - Cold Shoulder",https://www.youtube.com/watch?v=TokEGONYjDQ,TokEGONYjDQ,Diamond,0
"Central Cee - Doja",https://www.youtube.com/watch?v=I1qWDaJnhLg,I1qWDaJnhLg,Diamond,0
"Central Cee - Entrapreneur",https://www.youtube.com/watch?v=f3ZfrIDtUIs,f3ZfrIDtUIs,Diamond,0
"Central Cee - Let Go",https://www.youtube.com/watch?v=m7t7_liD4W8,m7t7_liD4W8,Diamond,0
"Central Cee - LIMITLESS",https://www.youtube.com/watch?v=ot5BhZhBrJg,ot5BhZhBrJg,Diamond,0
"Central Cee - Me and You",https://www.youtube.com/watch?v=4YvERLy_c2E,4YvERLy_c2E,Diamond,0
"Central Cee - No Introduction",https://www.youtube.com/watch?v=S01pnrB0Sjw,S01pnrB0Sjw,Diamond,0
"Central Cee - Obsessed With You",https://www.youtube.com/watch?v=-B4fs1xPdyw,-B4fs1xPdyw,Diamond,0
"Central Cee & Dave - Our 25th Birthday",https://www.youtube.com/watch?v=UKt9qX_D1kk,UKt9qX_D1kk,Diamond,0
